CountryName,CountryCode,SeriesName,SeriesCode,[2021_YR2021],[2022_YR2022],[2022_[YR2023]
Angola,AGO,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,-1.09345E+11,-51848082241,-88808514057
Angola,AGO,Taxes on international trade (current LCU),GC.TAX.INTT.CN,..,..,..
Angola,AGO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,3297745964,6639719014,2152988344
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-6.548542276,-6.320563843,-2.498839752
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-4355116553,-6598652652,-2119632186
Angola,AGO,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,-1.58990831,0.039335691,0.03932366
Angola,AGO,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,-1057370588,41066362.25,33356158.95
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.297108889,2.332125902,..
Angola,AGO,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,6.919610023,6.640471935,7.73896265
Angola,AGO,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,..,..,..
Angola,AGO,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..
